 - R	Amplitude (V) - R	 - IR	Amplitude (V) - IR
00:00.0	-9.22E-08	00:00.0	-6.92E-08
00:00.0	-6.62E-07	00:00.0	-4.79E-07
00:00.0	-2.41E-06	00:00.0	-1.69E-06
00:00.0	-6.14E-06	00:00.0	-4.18E-06
00:00.0	-1.25E-05	00:00.0	-8.34E-06
00:00.0	-2.22E-05	00:00.0	-1.45E-05
00:00.0	-3.55E-05	00:00.0	-2.31E-05
00:00.0	-5.31E-05	00:00.0	-3.45E-05
00:00.0	-7.52E-05	00:00.0	-4.90E-05
00:00.0	-0.000102373	00:00.0	-6.70E-05
00:00.0	-0.000134817	00:00.0	-8.88E-05
00:00.0	-0.000172892	00:00.0	-0.000114756
00:00.0	-0.000216926	00:00.0	-0.000145237
00:00.0	-0.000267208	00:00.0	-0.000180429
00:00.0	-0.000323941	00:00.0	-0.000220545
00:00.0	-0.000387273	00:00.0	-0.000265766
00:00.0	-0.000457345	00:00.0	-0.000316201
00:00.0	-0.000534311	00:00.0	-0.000371909
00:00.0	-0.000618295	00:00.0	-0.000432932
00:00.0	-0.00070934	00:00.0	-0.00049929
00:00.0	-0.000807443	00:00.0	-0.000570983
00:00.0	-0.000912575	00:00.0	-0.000648018
00:00.0	-0.00102468	00:00.0	-0.000730428
00:00.0	-0.0011437	00:00.0	-0.000818223
00:00.0	-0.00126955	00:00.0	-0.000911351
00:00.0	-0.00140219	00:00.0	-0.00100974
00:00.0	-0.00154155	00:00.0	-0.00111335
00:00.0	-0.0016875	00:00.0	-0.00122213
00:00.0	-0.00183986	00:00.0	-0.00133596
00:00.0	-0.00199844	00:00.0	-0.00145468
00:00.0	-0.00216304	00:00.0	-0.00157813
00:00.0	-0.00233346	00:00.0	-0.00170611
00:00.0	-0.00250958	00:00.0	-0.00183837
00:00.0	-0.00269128	00:00.0	-0.00197467
00:00.0	-0.00287839	00:00.0	-0.00211482
00:00.0	-0.00307065	00:00.0	-0.00225869
00:00.0	-0.00326778	00:00.0	-0.00240614
00:00.0	-0.00346949	00:00.0	-0.00255701
00:00.0	-0.00367547	00:00.0	-0.00271107
00:00.0	-0.00388542	00:00.0	-0.00286819
00:00.0	-0.00409904	00:00.0	-0.0030282
00:00.0	-0.00431601	00:00.0	-0.00319086
00:00.0	-0.00453602	00:00.0	-0.00335586
00:00.0	-0.00475876	00:00.0	-0.0035229
00:00.0	-0.00498392	00:00.0	-0.00369173
00:00.0	-0.00521117	00:00.0	-0.0038621
00:00.0	-0.00544023	00:00.0	-0.00403379
00:00.0	-0.00567085	00:00.0	-0.00420657
00:00.0	-0.00590279	00:00.0	-0.00438021
00:00.0	-0.00613576	00:00.0	-0.00455448
00:00.0	-0.00636952	00:00.0	-0.00472916
00:00.1	-0.00660381	00:00.1	-0.00490402
00:00.1	-0.00683834	00:00.1	-0.00507883
00:00.1	-0.00707277	00:00.1	-0.00525339
00:00.1	-0.00730681	00:00.1	-0.00542747
00:00.1	-0.00754015	00:00.1	-0.00560086
00:00.1	-0.00777247	00:00.1	-0.00577335
00:00.1	-0.0080035	00:00.1	-0.00594474
00:00.1	-0.00823303	00:00.1	-0.00611483
00:00.1	-0.00846084	00:00.1	-0.00628342
00:00.1	-0.00868666	00:00.1	-0.00645033
00:00.1	-0.00891021	00:00.1	-0.00661533
00:00.1	-0.00913122	00:00.1	-0.00677819
00:00.1	-0.00934943	00:00.1	-0.00693867
00:00.1	-0.00956459	00:00.1	-0.00709659
00:00.1	-0.00977646	00:00.1	-0.00725178
00:00.1	-0.00998488	00:00.1	-0.00740411
00:00.1	-0.0101897	00:00.1	-0.00755344
00:00.1	-0.0103907	00:00.1	-0.00769962
00:00.1	-0.0105876	00:00.1	-0.00784254
00:00.1	-0.0107803	00:00.1	-0.00798205
00:00.1	-0.0109686	00:00.1	-0.00811806
00:00.1	-0.0111522	00:00.1	-0.00825045
