 - R	Amplitude (V) - R	 - IR	Amplitude (V) - IR
00:00.0	-1.16E-09	00:00.0	-1.16E-09
00:00.0	-1.07E-08	00:00.0	-1.03E-08
00:00.0	-4.96E-08	00:00.0	-4.66E-08
00:00.0	-1.57E-07	00:00.0	-1.45E-07
00:00.0	-3.87E-07	00:00.0	-3.54E-07
00:00.0	-8.10E-07	00:00.0	-7.39E-07
00:00.0	-1.51E-06	00:00.0	-1.37E-06
00:00.0	-2.57E-06	00:00.0	-2.34E-06
00:00.0	-4.09E-06	00:00.0	-3.74E-06
00:00.0	-6.19E-06	00:00.0	-5.66E-06
00:00.0	-8.99E-06	00:00.0	-8.23E-06
00:00.0	-1.26E-05	00:00.0	-1.16E-05
00:00.0	-1.72E-05	00:00.0	-1.58E-05
00:00.0	-2.28E-05	00:00.0	-2.10E-05
00:00.0	-2.97E-05	00:00.0	-2.74E-05
00:00.0	-3.79E-05	00:00.0	-3.50E-05
00:00.0	-4.76E-05	00:00.0	-4.41E-05
00:00.0	-5.90E-05	00:00.0	-5.46E-05
00:00.0	-7.21E-05	00:00.0	-6.69E-05
00:00.0	-8.72E-05	00:00.0	-8.09E-05
00:00.0	-0.000104263	00:00.0	-9.68E-05
00:00.0	-0.000123571	00:00.0	-0.000114782
00:00.0	-0.000145218	00:00.0	-0.000134922
00:00.0	-0.000169339	00:00.0	-0.00015735
00:00.0	-0.000196061	00:00.0	-0.000182181
00:00.0	-0.000225504	00:00.0	-0.000209525
00:00.0	-0.000257782	00:00.0	-0.000239487
00:00.0	-0.000292999	00:00.0	-0.000272166
00:00.0	-0.000331255	00:00.0	-0.000307653
00:00.0	-0.000372641	00:00.0	-0.000346037
00:00.0	-0.000417246	00:00.0	-0.000387401
00:00.0	-0.000465149	00:00.0	-0.000431821
00:00.0	-0.000516422	00:00.0	-0.000479367
00:00.0	-0.000571128	00:00.0	-0.0005301
00:00.0	-0.000629323	00:00.0	-0.000584074
00:00.0	-0.000691055	00:00.0	-0.000641334
00:00.0	-0.000756366	00:00.0	-0.000701916
00:00.0	-0.000825293	00:00.0	-0.000765848
00:00.0	-0.00089786	00:00.0	-0.00083315
00:00.0	-0.000974087	00:00.0	-0.000903836
00:00.0	-0.00105398	00:00.0	-0.000977914
00:00.0	-0.00113754	00:00.0	-0.00105538
00:00.0	-0.00122474	00:00.0	-0.00113623
00:00.0	-0.00131557	00:00.0	-0.00122045
00:00.0	-0.00140998	00:00.0	-0.001308
00:00.0	-0.00150795	00:00.0	-0.00139887
00:00.0	-0.00160942	00:00.0	-0.00149299
00:00.0	-0.00171433	00:00.0	-0.00159033
00:00.0	-0.00182262	00:00.0	-0.00169082
00:00.0	-0.00193421	00:00.0	-0.00179441
00:00.0	-0.00204904	00:00.0	-0.001901
00:00.1	-0.00216701	00:00.1	-0.00201052
00:00.1	-0.00228804	00:00.1	-0.00212287
00:00.1	-0.00241204	00:00.1	-0.00223795
00:00.1	-0.00253889	00:00.1	-0.00235568
00:00.1	-0.00266851	00:00.1	-0.00247592
00:00.1	-0.00280077	00:00.1	-0.00259859
00:00.1	-0.00293555	00:00.1	-0.00272355
00:00.1	-0.00307272	00:00.1	-0.00285069
00:00.1	-0.00321216	00:00.1	-0.00297986
00:00.1	-0.00335371	00:00.1	-0.00311095
00:00.1	-0.00349722	00:00.1	-0.0032438
00:00.1	-0.00364255	00:00.1	-0.00337828
00:00.1	-0.00378954	00:00.1	-0.00351425
00:00.1	-0.00393802	00:00.1	-0.00365154
00:00.1	-0.00408783	00:00.1	-0.00379003
00:00.1	-0.00423882	00:00.1	-0.00392954
00:00.1	-0.00439081	00:00.1	-0.00406994
00:00.1	-0.00454366	00:00.1	-0.00421106
00:00.1	-0.00469718	00:00.1	-0.00435277
00:00.1	-0.00485122	00:00.1	-0.00449489
00:00.1	-0.00500561	00:00.1	-0.00463728
00:00.1	-0.0051602	00:00.1	-0.00477977
00:00.1	-0.00531483	00:00.1	-0.00492219
00:00.1	-0.00546932	00:00.1	-0.00506439
00:00.1	-0.00562352	00:00.1	-0.0052062
00:00.1	-0.00577727	00:00.1	-0.00534746
00:00.1	-0.00593038	00:00.1	-0.00548799
00:00.1	-0.0060827	00:00.1	-0.00562766
00:00.1	-0.00623404	00:00.1	-0.00576628
00:00.1	-0.00638425	00:00.1	-0.00590371
00:00.1	-0.00653314	00:00.1	-0.00603979
00:00.1	-0.00668056	00:00.1	-0.00617436
00:00.1	-0.00682635	00:00.1	-0.00630728
00:00.1	-0.00697034	00:00.1	-0.00643839
00:00.1	-0.00711239	00:00.1	-0.00656754
00:00.1	-0.00725234	00:00.1	-0.00669459
00:00.1	-0.00739005	00:00.1	-0.0068194
00:00.1	-0.00752538	00:00.1	-0.00694184
00:00.1	-0.00765819	00:00.1	-0.00706176
00:00.1	-0.00778834	00:00.1	-0.00717904
00:00.1	-0.00791568	00:00.1	-0.00729355
00:00.1	-0.00804008	00:00.1	-0.00740517
00:00.1	-0.0081614	00:00.1	-0.00751377
00:00.1	-0.0082795	00:00.1	-0.00761925
00:00.1	-0.00839427	00:00.1	-0.0077215
00:00.1	-0.00850556	00:00.1	-0.00782039
00:00.1	-0.00861326	00:00.1	-0.00791585
00:00.1	-0.00871725	00:00.1	-0.00800776
00:00.1	-0.00881742	00:00.1	-0.00809604
00:00.1	-0.00891366	00:00.1	-0.0081806
00:00.1	-0.00900588	00:00.1	-0.00826135
00:00.1	-0.009094	00:00.1	-0.00833821
00:00.1	-0.00917794	00:00.1	-0.0084111
00:00.1	-0.00925763	00:00.1	-0.00847996
00:00.1	-0.009333	00:00.1	-0.00854471
00:00.1	-0.009404	00:00.1	-0.00860529
00:00.1	-0.00947055	00:00.1	-0.00866165
00:00.1	-0.00953262	00:00.1	-0.00871373
00:00.1	-0.00959015	00:00.1	-0.00876149
00:00.1	-0.0096431	00:00.1	-0.00880489
00:00.1	-0.00969141	00:00.1	-0.0088439
00:00.1	-0.00973505	00:00.1	-0.00887847
00:00.1	-0.00977398	00:00.1	-0.00890857
00:00.1	-0.00980815	00:00.1	-0.00893419
00:00.1	-0.00983753	00:00.1	-0.00895529
00:00.1	-0.0098621	00:00.1	-0.00897185
00:00.1	-0.00988183	00:00.1	-0.00898386
00:00.1	-0.00989671	00:00.1	-0.00899132
00:00.1	-0.00990672	00:00.1	-0.00899424
00:00.1	-0.00991186	00:00.1	-0.00899261
00:00.1	-0.00991212	00:00.1	-0.00898645
00:00.1	-0.00990751	00:00.1	-0.00897579
00:00.1	-0.00989804	00:00.1	-0.00896064
00:00.1	-0.00988372	00:00.1	-0.00894103
00:00.1	-0.00986457	00:00.1	-0.00891701
00:00.1	-0.0098406	00:00.1	-0.0088886
00:00.1	-0.00981183	00:00.1	-0.00885584
00:00.1	-0.00977831	00:00.1	-0.00881879
00:00.1	-0.00974006	00:00.1	-0.00877748
00:00.1	-0.00969712	00:00.1	-0.00873197
00:00.1	-0.00964952	00:00.1	-0.00868232
00:00.1	-0.00959733	00:00.1	-0.00862859
00:00.1	-0.00954059	00:00.1	-0.00857084
00:00.1	-0.00947937	00:00.1	-0.00850915
00:00.1	-0.00941374	00:00.1	-0.00844358
00:00.1	-0.00934377	00:00.1	-0.00837422
00:00.1	-0.00926955	00:00.1	-0.00830115
00:00.1	-0.00919117	00:00.1	-0.00822444
00:00.1	-0.00910871	00:00.1	-0.0081442
00:00.1	-0.00902227	00:00.1	-0.0080605
00:00.1	-0.00893194	00:00.1	-0.00797344
00:00.1	-0.00883781	00:00.1	-0.00788311
00:00.1	-0.00873998	00:00.1	-0.00778963
00:00.1	-0.00863854	00:00.1	-0.00769307
00:00.1	-0.0085336	00:00.1	-0.00759355
00:00.1	-0.00842526	00:00.1	-0.00749118
00:00.1	-0.00831361	00:00.1	-0.00738606
00:00.1	-0.00819877	00:00.1	-0.00727831
00:00.1	-0.00808085	00:00.1	-0.00716804
00:00.2	-0.00795996	00:00.2	-0.00705537
00:00.2	-0.00783622	00:00.2	-0.0069404
00:00.2	-0.00770976	00:00.2	-0.00682326
00:00.2	-0.0075807	00:00.2	-0.00670406
00:00.2	-0.00744917	00:00.2	-0.00658292
00:00.2	-0.00731532	00:00.2	-0.00645997
00:00.2	-0.00717927	00:00.2	-0.00633532
00:00.2	-0.00704115	00:00.2	-0.0062091
00:00.2	-0.0069011	00:00.2	-0.00608144
00:00.2	-0.00675924	00:00.2	-0.00595245
00:00.2	-0.00661569	00:00.2	-0.00582225
00:00.2	-0.00647059	00:00.2	-0.00569096
00:00.2	-0.00632406	00:00.2	-0.00555869
00:00.2	-0.00617621	00:00.2	-0.00542556
00:00.2	-0.00602718	00:00.2	-0.00529169
00:00.2	-0.0058771	00:00.2	-0.00515719
00:00.2	-0.00572609	00:00.2	-0.00502218
00:00.2	-0.00557427	00:00.2	-0.00488675
00:00.2	-0.00542179	00:00.2	-0.00475103
00:00.2	-0.00526876	00:00.2	-0.00461511
00:00.2	-0.0051153	00:00.2	-0.00447911
00:00.2	-0.00496154	00:00.2	-0.0043431
00:00.2	-0.00480759	00:00.2	-0.0042072
00:00.2	-0.00465356	00:00.2	-0.00407151
00:00.2	-0.00449956	00:00.2	-0.0039361
00:00.2	-0.00434569	00:00.2	-0.00380109
00:00.2	-0.00419205	00:00.2	-0.00366655
00:00.2	-0.00403872	00:00.2	-0.00353257
00:00.2	-0.0038858	00:00.2	-0.00339925
00:00.2	-0.00373336	00:00.2	-0.00326665
00:00.2	-0.00358149	00:00.2	-0.00313486
00:00.2	-0.00343027	00:00.2	-0.00300395
00:00.2	-0.00327975	00:00.2	-0.00287399
00:00.2	-0.00313003	00:00.2	-0.00274505
00:00.2	-0.00298118	00:00.2	-0.00261718
00:00.2	-0.00283328	00:00.2	-0.00249046
00:00.2	-0.00268641	00:00.2	-0.00236494
