 - R	Amplitude (V) - R	 - IR	Amplitude (V) - IR
00:00.0	-2.32E-09	00:00.0	-2.71E-09
00:00.0	-2.11E-08	00:00.0	-2.41E-08
00:00.0	-9.66E-08	00:00.0	-1.09E-07
00:00.0	-3.05E-07	00:00.0	-3.37E-07
00:00.0	-7.56E-07	00:00.0	-8.27E-07
00:00.0	-1.59E-06	00:00.0	-1.73E-06
00:00.0	-2.99E-06	00:00.0	-3.21E-06
00:00.0	-5.13E-06	00:00.0	-5.49E-06
00:00.0	-8.24E-06	00:00.0	-8.78E-06
00:00.0	-1.26E-05	00:00.0	-1.33E-05
00:00.0	-1.83E-05	00:00.0	-1.94E-05
00:00.0	-2.58E-05	00:00.0	-2.72E-05
00:00.0	-3.52E-05	00:00.0	-3.70E-05
00:00.0	-4.68E-05	00:00.0	-4.92E-05
00:00.0	-6.10E-05	00:00.0	-6.41E-05
00:00.0	-7.80E-05	00:00.0	-8.18E-05
00:00.0	-9.80E-05	00:00.0	-0.00010273
00:00.0	-0.000121333	00:00.0	-0.000127167
00:00.0	-0.000148304	00:00.0	-0.000155395
00:00.0	-0.000179156	00:00.0	-0.000187708
00:00.0	-0.000214157	00:00.0	-0.00022439
00:00.0	-0.000253567	00:00.0	-0.000265722
00:00.0	-0.000297643	00:00.0	-0.000311976
00:00.0	-0.000346631	00:00.0	-0.000363414
00:00.0	-0.000400766	00:00.0	-0.000420292
00:00.0	-0.000460273	00:00.0	-0.000482853
00:00.0	-0.000525358	00:00.0	-0.000551328
00:00.0	-0.000596219	00:00.0	-0.000625933
00:00.0	-0.000673034	00:00.0	-0.00070687
00:00.0	-0.000755969	00:00.0	-0.000794326
00:00.0	-0.000845174	00:00.0	-0.000888473
00:00.0	-0.000940782	00:00.0	-0.000989465
00:00.0	-0.00104291	00:00.0	-0.00109744
00:00.0	-0.00115167	00:00.0	-0.00121252
00:00.0	-0.00126715	00:00.0	-0.00133481
00:00.0	-0.00138941	00:00.0	-0.00146439
00:00.0	-0.00151853	00:00.0	-0.00160133
00:00.0	-0.00165454	00:00.0	-0.00174568
00:00.0	-0.00179746	00:00.0	-0.00189746
00:00.0	-0.00194732	00:00.0	-0.00205669
