 - R	Amplitude (V) - R	 - IR	Amplitude (V) - IR
00:00.3	0.00192921	00:00.3	0.00213149
00:00.3	0.00197624	00:00.3	0.00215884
00:00.3	0.00202361	00:00.3	0.00218634
00:00.3	0.00207134	00:00.3	0.00221401
00:00.3	0.00211942	00:00.3	0.0022419
00:00.3	0.00216781	00:00.3	0.00227002
00:00.3	0.00221644	00:00.3	0.00229839
00:00.3	0.0022653	00:00.3	0.00232694
00:00.3	0.00231433	00:00.3	0.00235566
00:00.3	0.00236349	00:00.3	0.00238449
00:00.3	0.00241278	00:00.3	0.00241342
00:00.3	0.00246223	00:00.3	0.00244241
00:00.3	0.00251182	00:00.3	0.00247144
00:00.3	0.00256152	00:00.3	0.00250046
00:00.3	0.00261127	00:00.3	0.00252945
00:00.3	0.00266107	00:00.3	0.00255839
00:00.3	0.00271094	00:00.3	0.00258726
00:00.3	0.00276091	00:00.3	0.00261602
00:00.3	0.00281099	00:00.3	0.00264466
00:00.3	0.0028612	00:00.3	0.00267315
00:00.3	0.00291155	00:00.3	0.00270148
00:00.3	0.00296202	00:00.3	0.00272963
00:00.3	0.00301255	00:00.3	0.00275757
00:00.3	0.00306307	00:00.3	0.00278529
00:00.3	0.00311348	00:00.3	0.00281278
00:00.3	0.00316363	00:00.3	0.00284002
00:00.3	0.0032134	00:00.3	0.00286699
00:00.3	0.00326272	00:00.3	0.00289369
00:00.3	0.00331163	00:00.3	0.00292013
00:00.3	0.00336016	00:00.3	0.00294633
00:00.3	0.00340835	00:00.3	0.00297229
00:00.3	0.00345623	00:00.3	0.00299792
00:00.3	0.00350384	00:00.3	0.00302312
00:00.3	0.00355121	00:00.3	0.00304783
00:00.3	0.00359836	00:00.3	0.00307202
00:00.3	0.00364533	00:00.3	0.0030957
00:00.3	0.00369212	00:00.3	0.00311887
00:00.3	0.00373877	00:00.3	0.00314153
00:00.3	0.00378529	00:00.3	0.0031636
00:00.3	0.0038317	00:00.3	0.00318505
00:00.3	0.00387798	00:00.3	0.00320585
00:00.3	0.00392407	00:00.3	0.00322604
00:00.3	0.00396983	00:00.3	0.00324561
00:00.3	0.00401519	00:00.3	0.00326452
00:00.3	0.00406008	00:00.3	0.00328271
00:00.3	0.00410446	00:00.3	0.0033002
00:00.3	0.00414835	00:00.3	0.00331702
00:00.3	0.0041918	00:00.3	0.00333321
00:00.3	0.00423482	00:00.3	0.00334878
00:00.3	0.00427746	00:00.3	0.00336378
00:00.3	0.00431974	00:00.3	0.00337823
00:00.3	0.00436169	00:00.3	0.00339216
00:00.3	0.00440334	00:00.3	0.0034056
00:00.3	0.00444471	00:00.3	0.00341857
00:00.3	0.00448582	00:00.3	0.00343111
00:00.3	0.00452669	00:00.3	0.00344324
00:00.3	0.00456731	00:00.3	0.003455
00:00.3	0.00460762	00:00.3	0.0034665
00:00.3	0.00464748	00:00.3	0.00347779
00:00.3	0.00468683	00:00.3	0.00348884
00:00.3	0.00472559	00:00.3	0.00349961
00:00.4	0.00476375	00:00.4	0.00351008
00:00.4	0.00480132	00:00.4	0.00352026
00:00.4	0.00483833	00:00.4	0.0035301
00:00.4	0.00487484	00:00.4	0.00353956
00:00.4	0.00491087	00:00.4	0.00354864
00:00.4	0.00494645	00:00.4	0.00355739
00:00.4	0.00498166	00:00.4	0.00356582
00:00.4	0.00501657	00:00.4	0.00357397
00:00.4	0.00505128	00:00.4	0.00358187
00:00.4	0.00508583	00:00.4	0.00358954
00:00.4	0.00512024	00:00.4	0.003597
00:00.4	0.0051545	00:00.4	0.00360429
00:00.4	0.00518863	00:00.4	0.00361143
00:00.4	0.00522262	00:00.4	0.00361844
00:00.4	0.0052564	00:00.4	0.00362531
00:00.4	0.00528989	00:00.4	0.00363201
00:00.4	0.005323	00:00.4	0.00363849
00:00.4	0.00535557	00:00.4	0.00364476
00:00.4	0.0053875	00:00.4	0.00365084
00:00.4	0.00541871	00:00.4	0.00365676
00:00.4	0.00544924	00:00.4	0.00366256
00:00.4	0.00547915	00:00.4	0.00366825
00:00.4	0.00550857	00:00.4	0.00367387
00:00.4	0.00553766	00:00.4	0.00367943
00:00.4	0.00556645	00:00.4	0.00368497
00:00.4	0.00559494	00:00.4	0.00369049
00:00.4	0.00562323	00:00.4	0.00369602
00:00.4	0.00565146	00:00.4	0.00370159
00:00.4	0.00567973	00:00.4	0.00370722
00:00.4	0.00570805	00:00.4	0.003713
00:00.4	0.00573641	00:00.4	0.00371902
00:00.4	0.00576481	00:00.4	0.00372532
00:00.4	0.00579322	00:00.4	0.00373197
00:00.4	0.00582156	00:00.4	0.00373903
00:00.4	0.00584976	00:00.4	0.00374652
00:00.4	0.00587776	00:00.4	0.00375442
00:00.4	0.00590551	00:00.4	0.00376273
00:00.4	0.00593296	00:00.4	0.00377139
00:00.4	0.00596017	00:00.4	0.00378034
00:00.4	0.00598721	00:00.4	0.0037895
00:00.4	0.0060141	00:00.4	0.00379884
00:00.4	0.00604084	00:00.4	0.00380835
00:00.4	0.00606743	00:00.4	0.00381804
00:00.4	0.00609384	00:00.4	0.00382791
00:00.4	0.00612	00:00.4	0.00383794
00:00.4	0.00614584	00:00.4	0.00384814
00:00.4	0.00617133	00:00.4	0.0038585
00:00.4	0.0061965	00:00.4	0.00386902
00:00.4	0.00622133	00:00.4	0.0038797
00:00.4	0.00624587	00:00.4	0.00389052
00:00.4	0.00627018	00:00.4	0.0039015
00:00.4	0.00629433	00:00.4	0.00391272
00:00.4	0.00631833	00:00.4	0.00392422
00:00.4	0.00634218	00:00.4	0.003936
00:00.4	0.00636586	00:00.4	0.00394806
00:00.4	0.00638936	00:00.4	0.00396038
00:00.4	0.00641268	00:00.4	0.00397292
00:00.4	0.00643583	00:00.4	0.00398569
00:00.4	0.00645886	00:00.4	0.00399865
00:00.4	0.00648184	00:00.4	0.00401179
00:00.4	0.00650475	00:00.4	0.0040251
00:00.4	0.00652758	00:00.4	0.00403853
00:00.4	0.00655031	00:00.4	0.004052
00:00.4	0.00657292	00:00.4	0.00406543
00:00.4	0.00659538	00:00.4	0.00407878
00:00.4	0.00661768	00:00.4	0.00409207
00:00.4	0.00663979	00:00.4	0.00410527
00:00.4	0.0066617	00:00.4	0.00411839
00:00.4	0.00668339	00:00.4	0.00413143
00:00.4	0.00670483	00:00.4	0.00414437
00:00.4	0.00672602	00:00.4	0.00415722
00:00.4	0.00674694	00:00.4	0.00416997
00:00.4	0.00676759	00:00.4	0.00418261
00:00.4	0.00678802	00:00.4	0.00419515
00:00.4	0.00680828	00:00.4	0.00420757
00:00.4	0.00682838	00:00.4	0.00421987
00:00.4	0.00684827	00:00.4	0.00423205
00:00.4	0.00686795	00:00.4	0.00424411
00:00.4	0.00688737	00:00.4	0.00425605
00:00.4	0.00690653	00:00.4	0.00426795
00:00.4	0.0069254	00:00.4	0.00427985
00:00.4	0.00694395	00:00.4	0.00429168
00:00.4	0.00696217	00:00.4	0.00430335
00:00.4	0.00698006	00:00.4	0.00431486
00:00.4	0.00699769	00:00.4	0.00432619
00:00.4	0.0070152	00:00.4	0.00433733
00:00.4	0.00703271	00:00.4	0.00434829
00:00.4	0.00705028	00:00.4	0.00435907
00:00.4	0.00706789	00:00.4	0.00436965
00:00.4	0.00708559	00:00.4	0.00438005
00:00.4	0.00710349	00:00.4	0.00439024
00:00.4	0.00712168	00:00.4	0.00440025
00:00.4	0.00714019	00:00.4	0.00441005
00:00.4	0.00715896	00:00.4	0.00441965
00:00.4	0.00717791	00:00.4	0.00442904
00:00.4	0.00719698	00:00.4	0.00443823
00:00.4	0.00721609	00:00.4	0.00444721
00:00.4	0.00723518	00:00.4	0.00445598
00:00.4	0.00725419	00:00.4	0.00446455
00:00.5	0.00727306	00:00.5	0.00447289
00:00.5	0.00729173	00:00.5	0.00448103
00:00.5	0.00731014	00:00.5	0.00448894
00:00.5	0.00732827	00:00.5	0.00449664
00:00.5	0.00734613	00:00.5	0.00450413
00:00.5	0.00736375	00:00.5	0.00451139
00:00.5	0.0073811	00:00.5	0.00451844
00:00.5	0.00739824	00:00.5	0.00452524
00:00.5	0.00741523	00:00.5	0.00453173
00:00.5	0.00743211	00:00.5	0.00453784
00:00.5	0.00744885	00:00.5	0.00454357
00:00.5	0.00746548	00:00.5	0.00454892
00:00.5	0.00748207	00:00.5	0.00455391
00:00.5	0.00749863	00:00.5	0.00455857
00:00.5	0.0075151	00:00.5	0.00456297
00:00.5	0.00753144	00:00.5	0.0045672
00:00.5	0.00754763	00:00.5	0.00457128
00:00.5	0.00756367	00:00.5	0.0045752
00:00.5	0.00757951	00:00.5	0.00457896
00:00.5	0.00759509	00:00.5	0.00458256
00:00.5	0.00761044	00:00.5	0.004586
00:00.5	0.00762565	00:00.5	0.0045893
00:00.5	0.00764079	00:00.5	0.00459253
00:00.5	0.00765589	00:00.5	0.00459575
00:00.5	0.00767098	00:00.5	0.00459897
00:00.5	0.00768609	00:00.5	0.00460217
00:00.5	0.00770124	00:00.5	0.00460538
00:00.5	0.00771632	00:00.5	0.00460864
00:00.5	0.00773126	00:00.5	0.004612
00:00.5	0.00774596	00:00.5	0.00461548
00:00.5	0.00776032	00:00.5	0.00461903
00:00.5	0.00777428	00:00.5	0.00462265
00:00.5	0.00778774	00:00.5	0.00462631
00:00.5	0.00780065	00:00.5	0.00462999
00:00.5	0.00781292	00:00.5	0.00463367
00:00.5	0.00782451	00:00.5	0.00463736
00:00.5	0.00783534	00:00.5	0.00464108
00:00.5	0.00784536	00:00.5	0.00464481
00:00.5	0.00785453	00:00.5	0.0046485
00:00.5	0.00786279	00:00.5	0.00465219
00:00.5	0.00787013	00:00.5	0.00465592
00:00.5	0.00787657	00:00.5	0.00465967
00:00.5	0.00788215	00:00.5	0.00466335
00:00.5	0.00788683	00:00.5	0.00466686
00:00.5	0.00789061	00:00.5	0.00467017
00:00.5	0.00789352	00:00.5	0.00467327
00:00.5	0.00789558	00:00.5	0.00467616
00:00.5	0.00789678	00:00.5	0.00467882
00:00.5	0.00789708	00:00.5	0.00468125
00:00.5	0.00789645	00:00.5	0.00468344
00:00.5	0.00789486	00:00.5	0.00468538
00:00.5	0.00789227	00:00.5	0.00468706
00:00.5	0.00788869	00:00.5	0.00468848
00:00.5	0.00788417	00:00.5	0.00468964
00:00.5	0.00787874	00:00.5	0.00469052
00:00.5	0.00787242	00:00.5	0.00469116
00:00.5	0.00786519	00:00.5	0.00469161
00:00.5	0.00785711	00:00.5	0.00469193
00:00.5	0.00784822	00:00.5	0.00469213
00:00.5	0.00783851	00:00.5	0.00469222
00:00.5	0.00782799	00:00.5	0.00469226
00:00.5	0.00781671	00:00.5	0.0046923
00:00.5	0.00780471	00:00.5	0.00469233
00:00.5	0.00779199	00:00.5	0.00469234
00:00.5	0.00777852	00:00.5	0.00469229
00:00.5	0.00776428	00:00.5	0.00469218
00:00.5	0.00774926	00:00.5	0.00469198
00:00.5	0.00773344	00:00.5	0.00469167
00:00.5	0.0077168	00:00.5	0.00469121
00:00.5	0.00769934	00:00.5	0.00469052
00:00.5	0.00768106	00:00.5	0.00468952
00:00.5	0.00766193	00:00.5	0.00468818
00:00.5	0.00764198	00:00.5	0.00468648
00:00.5	0.00762118	00:00.5	0.00468435
00:00.5	0.00759955	00:00.5	0.00468172
00:00.5	0.00757708	00:00.5	0.00467858
00:00.5	0.00755379	00:00.5	0.00467495
00:00.5	0.00752968	00:00.5	0.00467083
00:00.5	0.00750476	00:00.5	0.00466625
00:00.5	0.00747904	00:00.5	0.00466121
00:00.5	0.00745253	00:00.5	0.00465573
00:00.5	0.00742525	00:00.5	0.00464981
00:00.5	0.00739719	00:00.5	0.00464348
00:00.5	0.0073683	00:00.5	0.00463674
00:00.5	0.00733853	00:00.5	0.00462962
00:00.5	0.00730786	00:00.5	0.00462211
00:00.5	0.00727627	00:00.5	0.00461426
00:00.5	0.00724371	00:00.5	0.00460615
00:00.5	0.00721022	00:00.5	0.00459786
00:00.5	0.00717583	00:00.5	0.0045894
00:00.5	0.00714059	00:00.5	0.00458078
00:00.5	0.00710455	00:00.5	0.00457201
00:00.5	0.00706775	00:00.5	0.00456307
00:00.5	0.00703024	00:00.5	0.00455398
00:00.5	0.00699206	00:00.5	0.00454474
00:00.5	0.00695326	00:00.5	0.00453534
00:00.5	0.00691388	00:00.5	0.0045258
00:00.5	0.00687397	00:00.5	0.00451613
00:00.5	0.00683356	00:00.5	0.0045064
00:00.5	0.00679268	00:00.5	0.00449669
00:00.6	0.0067513	00:00.6	0.004487
00:00.6	0.00670938	00:00.6	0.00447732
00:00.6	0.00666688	00:00.6	0.00446766
00:00.6	0.00662379	00:00.6	0.004458
00:00.6	0.00658015	00:00.6	0.0044483
00:00.6	0.00653601	00:00.6	0.0044385
00:00.6	0.00649145	00:00.6	0.00442852
00:00.6	0.00644654	00:00.6	0.00441835
00:00.6	0.00640141	00:00.6	0.004408
00:00.6	0.00635616	00:00.6	0.00439746
00:00.6	0.00631078	00:00.6	0.00438674
00:00.6	0.00626525	00:00.6	0.00437586
