 - R	Amplitude (V) - R	 - IR	Amplitude (V) - IR
00:00.0	-6.62E-07	00:00.0	-4.79E-07
00:00.0	-2.41E-06	00:00.0	-1.69E-06
00:00.0	-6.14E-06	00:00.0	-4.18E-06
00:00.0	-1.25E-05	00:00.0	-8.34E-06
00:00.0	-2.22E-05	00:00.0	-1.45E-05
00:00.0	-3.55E-05	00:00.0	-2.31E-05
00:00.0	-5.31E-05	00:00.0	-3.45E-05
00:00.0	-7.52E-05	00:00.0	-4.90E-05
00:00.0	-0.000102373	00:00.0	-6.70E-05
00:00.0	-0.000134817	00:00.0	-8.88E-05
00:00.0	-0.000172892	00:00.0	-0.000114756
00:00.0	-0.000216926	00:00.0	-0.000145237
00:00.0	-0.000267208	00:00.0	-0.000180429
00:00.0	-0.000323941	00:00.0	-0.000220545
00:00.0	-0.000387273	00:00.0	-0.000265766
00:00.0	-0.000457345	00:00.0	-0.000316201
00:00.0	-0.000534311	00:00.0	-0.000371909
00:00.0	-0.000618295	00:00.0	-0.000432932
00:00.0	-0.00070934	00:00.0	-0.00049929
00:00.0	-0.000807443	00:00.0	-0.000570983
00:00.0	-0.000912575	00:00.0	-0.000648018
00:00.0	-0.00102468	00:00.0	-0.000730428
00:00.0	-0.0011437	00:00.0	-0.000818223
00:00.0	-0.00126955	00:00.0	-0.000911351
00:00.0	-0.00140219	00:00.0	-0.00100974
00:00.0	-0.00154155	00:00.0	-0.00111335
00:00.0	-0.0016875	00:00.0	-0.00122213
00:00.0	-0.00183986	00:00.0	-0.00133596
00:00.0	-0.00199844	00:00.0	-0.00145468
00:00.0	-0.00216304	00:00.0	-0.00157813
00:00.0	-0.00233346	00:00.0	-0.00170611
00:00.0	-0.00250958	00:00.0	-0.00183837
00:00.0	-0.00269128	00:00.0	-0.00197467
00:00.0	-0.00287839	00:00.0	-0.00211482
00:00.0	-0.00307065	00:00.0	-0.00225869
00:00.0	-0.00326778	00:00.0	-0.00240614
00:00.0	-0.00346949	00:00.0	-0.00255701
00:00.0	-0.00367547	00:00.0	-0.00271107
00:00.0	-0.00388542	00:00.0	-0.00286819
00:00.0	-0.00409904	00:00.0	-0.0030282
00:00.0	-0.00431601	00:00.0	-0.00319086
00:00.0	-0.00453602	00:00.0	-0.00335586
00:00.0	-0.00475876	00:00.0	-0.0035229
00:00.0	-0.00498392	00:00.0	-0.00369173
00:00.0	-0.00521117	00:00.0	-0.0038621
00:00.0	-0.00544023	00:00.0	-0.00403379
00:00.0	-0.00567085	00:00.0	-0.00420657
00:00.0	-0.00590279	00:00.0	-0.00438021
00:00.0	-0.00613576	00:00.0	-0.00455448
00:00.0	-0.00636952	00:00.0	-0.00472916
00:00.1	-0.00660381	00:00.1	-0.00490402
00:00.1	-0.00683834	00:00.1	-0.00507883
00:00.1	-0.00707277	00:00.1	-0.00525339
00:00.1	-0.00730681	00:00.1	-0.00542747
00:00.1	-0.00754015	00:00.1	-0.00560086
00:00.1	-0.00777247	00:00.1	-0.00577335
00:00.1	-0.0080035	00:00.1	-0.00594474
00:00.1	-0.00823303	00:00.1	-0.00611483
00:00.1	-0.00846084	00:00.1	-0.00628342
00:00.1	-0.00868666	00:00.1	-0.00645033
00:00.1	-0.00891021	00:00.1	-0.00661533
00:00.1	-0.00913122	00:00.1	-0.00677819
00:00.1	-0.00934943	00:00.1	-0.00693867
00:00.1	-0.00956459	00:00.1	-0.00709659
00:00.1	-0.00977646	00:00.1	-0.00725178
00:00.1	-0.00998488	00:00.1	-0.00740411
00:00.1	-0.0101897	00:00.1	-0.00755344
00:00.1	-0.0103907	00:00.1	-0.00769962
00:00.1	-0.0105876	00:00.1	-0.00784254
00:00.1	-0.0107803	00:00.1	-0.00798205
00:00.1	-0.0109686	00:00.1	-0.00811806
00:00.1	-0.0111522	00:00.1	-0.00825045
00:00.1	-0.0113309	00:00.1	-0.0083791
00:00.1	-0.0115047	00:00.1	-0.00850392
00:00.1	-0.0116733	00:00.1	-0.00862482
00:00.1	-0.0118366	00:00.1	-0.00874171
00:00.1	-0.0119944	00:00.1	-0.0088545
00:00.1	-0.0121468	00:00.1	-0.00896313
00:00.1	-0.0122936	00:00.1	-0.00906751
00:00.1	-0.0124348	00:00.1	-0.0091676
00:00.1	-0.0125705	00:00.1	-0.00926332
00:00.1	-0.0127004	00:00.1	-0.00935463
00:00.1	-0.0128245	00:00.1	-0.00944148
00:00.1	-0.012943	00:00.1	-0.00952384
00:00.1	-0.0130555	00:00.1	-0.00960166
00:00.1	-0.0131621	00:00.1	-0.00967493
00:00.1	-0.0132627	00:00.1	-0.00974361
00:00.1	-0.0133572	00:00.1	-0.00980771
00:00.1	-0.0134454	00:00.1	-0.00986729
00:00.1	-0.0135273	00:00.1	-0.0099224
00:00.1	-0.0136029	00:00.1	-0.00997305
00:00.1	-0.0136722	00:00.1	-0.0100192
00:00.1	-0.0137352	00:00.1	-0.010061
00:00.1	-0.0137919	00:00.1	-0.0100982
00:00.1	-0.0138423	00:00.1	-0.010131
00:00.1	-0.0138864	00:00.1	-0.0101594
00:00.1	-0.0139242	00:00.1	-0.0101833
00:00.1	-0.0139557	00:00.1	-0.0102028
00:00.1	-0.0139809	00:00.1	-0.0102179
00:00.1	-0.0139999	00:00.1	-0.0102287
00:00.1	-0.0140127	00:00.1	-0.0102351
00:00.1	-0.0140194	00:00.1	-0.0102373
00:00.1	-0.0140199	00:00.1	-0.0102352
00:00.1	-0.0140144	00:00.1	-0.010229
00:00.1	-0.0140029	00:00.1	-0.0102186
00:00.1	-0.0139856	00:00.1	-0.0102041
00:00.1	-0.0139623	00:00.1	-0.0101854
00:00.1	-0.0139333	00:00.1	-0.0101626
00:00.1	-0.0138987	00:00.1	-0.0101355
00:00.1	-0.0138584	00:00.1	-0.0101043
00:00.1	-0.0138127	00:00.1	-0.0100689
00:00.1	-0.0137615	00:00.1	-0.0100295
00:00.1	-0.0137051	00:00.1	-0.00998612
00:00.1	-0.0136434	00:00.1	-0.00993887
00:00.1	-0.0135766	00:00.1	-0.00988794
00:00.1	-0.0135048	00:00.1	-0.00983346
00:00.1	-0.0134283	00:00.1	-0.00977552
00:00.1	-0.0133472	00:00.1	-0.00971424
00:00.1	-0.0132618	00:00.1	-0.00964971
00:00.1	-0.013172	00:00.1	-0.00958203
00:00.1	-0.013078	00:00.1	-0.00951132
00:00.1	-0.0129798	00:00.1	-0.00943768
00:00.1	-0.0128775	00:00.1	-0.00936121
00:00.1	-0.0127713	00:00.1	-0.00928202
00:00.1	-0.0126611	00:00.1	-0.00920021
00:00.1	-0.0125472	00:00.1	-0.00911589
00:00.1	-0.0124295	00:00.1	-0.00902916
00:00.1	-0.0123082	00:00.1	-0.00894014
00:00.1	-0.0121834	00:00.1	-0.00884892
00:00.1	-0.0120553	00:00.1	-0.00875562
00:00.1	-0.0119241	00:00.1	-0.00866032
00:00.1	-0.0117898	00:00.1	-0.00856314
00:00.1	-0.0116527	00:00.1	-0.00846419
00:00.1	-0.0115129	00:00.1	-0.00836358
00:00.1	-0.0113705	00:00.1	-0.00826148
00:00.1	-0.0112258	00:00.1	-0.00815805
00:00.1	-0.0110788	00:00.1	-0.00805341
00:00.1	-0.0109299	00:00.1	-0.00794765
00:00.1	-0.0107792	00:00.1	-0.00784084
00:00.1	-0.0106268	00:00.1	-0.00773306
00:00.1	-0.0104729	00:00.1	-0.00762441
00:00.1	-0.0103175	00:00.1	-0.00751497
00:00.1	-0.0101608	00:00.1	-0.0074048
00:00.1	-0.0100027	00:00.1	-0.007294
00:00.1	-0.00984339	00:00.1	-0.00718263
00:00.1	-0.009683	00:00.1	-0.00707078
00:00.1	-0.00952167	00:00.1	-0.00695852
00:00.1	-0.00935952	00:00.1	-0.00684592
00:00.1	-0.00919667	00:00.1	-0.00673306
00:00.2	-0.00903325	00:00.2	-0.00662
00:00.2	-0.00886937	00:00.2	-0.00650681
00:00.2	-0.00870516	00:00.2	-0.00639357
00:00.2	-0.00854073	00:00.2	-0.0062803
00:00.2	-0.00837619	00:00.2	-0.00616701
00:00.2	-0.00821165	00:00.2	-0.0060537
00:00.2	-0.00804722	00:00.2	-0.00594041
00:00.2	-0.00788299	00:00.2	-0.00582722
00:00.2	-0.00771908	00:00.2	-0.00571419
00:00.2	-0.00755557	00:00.2	-0.00560139
00:00.2	-0.00739257	00:00.2	-0.00548888
00:00.2	-0.00723015	00:00.2	-0.00537673
00:00.2	-0.00706842	00:00.2	-0.00526498
00:00.2	-0.00690745	00:00.2	-0.00515371
00:00.2	-0.00674734	00:00.2	-0.00504297
00:00.2	-0.00658828	00:00.2	-0.00493278
00:00.2	-0.00643045	00:00.2	-0.00482315
00:00.2	-0.00627402	00:00.2	-0.00471414
00:00.2	-0.00611904	00:00.2	-0.00460584
00:00.2	-0.00596559	00:00.2	-0.00449833
00:00.2	-0.00581377	00:00.2	-0.00439163
00:00.2	-0.00566368	00:00.2	-0.0042858
00:00.2	-0.00551536	00:00.2	-0.00418087
00:00.2	-0.00536885	00:00.2	-0.00407687
00:00.2	-0.00522414	00:00.2	-0.00397384
00:00.2	-0.00508127	00:00.2	-0.00387181
00:00.2	-0.00494025	00:00.2	-0.00377081
00:00.2	-0.00480109	00:00.2	-0.00367087
00:00.2	-0.00466379	00:00.2	-0.00357198
00:00.2	-0.00452837	00:00.2	-0.00347411
00:00.2	-0.00439484	00:00.2	-0.00337722
00:00.2	-0.00426319	00:00.2	-0.0032813
00:00.2	-0.00413346	00:00.2	-0.00318637
00:00.2	-0.00400574	00:00.2	-0.00309239
00:00.2	-0.00388016	00:00.2	-0.00299933
00:00.2	-0.00375677	00:00.2	-0.00290718
00:00.2	-0.00363549	00:00.2	-0.00281597
00:00.2	-0.00351624	00:00.2	-0.00272565
00:00.2	-0.00339898	00:00.2	-0.0026362
00:00.2	-0.00328369	00:00.2	-0.00254762
00:00.2	-0.00317034	00:00.2	-0.00245996
00:00.2	-0.00305892	00:00.2	-0.00237325
00:00.2	-0.00294941	00:00.2	-0.00228754
00:00.2	-0.00284178	00:00.2	-0.00220292
00:00.2	-0.00273604	00:00.2	-0.0021195
00:00.2	-0.00263223	00:00.2	-0.00203731
00:00.2	-0.00253039	00:00.2	-0.00195635
00:00.2	-0.0024305	00:00.2	-0.00187663
00:00.2	-0.00233255	00:00.2	-0.00179816
00:00.2	-0.0022366	00:00.2	-0.00172093
00:00.2	-0.00214275	00:00.2	-0.00164487
00:00.2	-0.00205111	00:00.2	-0.00156991
00:00.2	-0.00196171	00:00.2	-0.00149605
00:00.2	-0.00187452	00:00.2	-0.0014233
00:00.2	-0.00178953	00:00.2	-0.00135165
00:00.2	-0.00170673	00:00.2	-0.00128113
00:00.2	-0.00162606	00:00.2	-0.00121174
00:00.2	-0.00154744	00:00.2	-0.00114345
00:00.2	-0.00147078	00:00.2	-0.0010762
00:00.2	-0.00139602	00:00.2	-0.00100993
00:00.2	-0.00132308	00:00.2	-0.000944625
00:00.2	-0.00125199	00:00.2	-0.000880271
00:00.2	-0.00118281	00:00.2	-0.000816808
00:00.2	-0.00111564	00:00.2	-0.00075418
00:00.2	-0.00105044	00:00.2	-0.00069238
00:00.2	-0.000987163	00:00.2	-0.000631421
00:00.2	-0.000925774	00:00.2	-0.000571317
00:00.2	-0.000866233	00:00.2	-0.00051208
00:00.2	-0.000808477	00:00.2	-0.00045372
00:00.2	-0.000752464	00:00.2	-0.000396243
00:00.2	-0.000698177	00:00.2	-0.000339657
00:00.2	-0.000645593	00:00.2	-0.000283966
00:00.2	-0.000594686	00:00.2	-0.000229173
00:00.2	-0.000545431	00:00.2	-0.000175281
00:00.2	-0.000497773	00:00.2	-0.00012229
00:00.2	-0.000451614	00:00.2	-7.02E-05
00:00.2	-0.000406831	00:00.2	-1.90E-05
00:00.2	-0.00036331	00:00.2	3.13E-05
00:00.2	-0.00032096	00:00.2	8.07E-05
00:00.2	-0.000279742	00:00.2	0.000129233
00:00.2	-0.000239613	00:00.2	0.000176883
00:00.2	-0.000200509	00:00.2	0.000223641
00:00.2	-0.000162412	00:00.2	0.00026947
00:00.2	-0.000125372	00:00.2	0.000314386
00:00.2	-8.94E-05	00:00.2	0.000358449
00:00.2	-5.46E-05	00:00.2	0.000401695
00:00.2	-2.08E-05	00:00.2	0.00044416
00:00.2	1.20E-05	00:00.2	0.000485922
00:00.2	4.39E-05	00:00.2	0.000527058
00:00.2	7.51E-05	00:00.2	0.000567594
00:00.2	0.000105587	00:00.2	0.000607532
00:00.2	0.000135559	00:00.2	0.000646875
00:00.2	0.000165109	00:00.2	0.000685627
00:00.2	0.00019434	00:00.2	0.000723793
00:00.2	0.000223351	00:00.2	0.000761379
00:00.2	0.000252235	00:00.2	0.00079839
00:00.2	0.000281105	00:00.2	0.000834833
00:00.2	0.000310111	00:00.2	0.000870716
00:00.2	0.000339397	00:00.2	0.000906047
00:00.2	0.000369027	00:00.2	0.000940857
00:00.3	0.000398967	00:00.3	0.000975223
00:00.3	0.000429141	00:00.3	0.00100922
00:00.3	0.000459502	00:00.3	0.00104286
00:00.3	0.000490027	00:00.3	0.00107616
00:00.3	0.00052072	00:00.3	0.0011091
00:00.3	0.00055163	00:00.3	0.00114167
00:00.3	0.000582827	00:00.3	0.00117379
00:00.3	0.000614376	00:00.3	0.00120541
00:00.3	0.000646337	00:00.3	0.00123654
00:00.3	0.000678765	00:00.3	0.00126726
00:00.3	0.000711714	00:00.3	0.00129765
00:00.3	0.000745207	00:00.3	0.00132773
00:00.3	0.00077922	00:00.3	0.0013575
00:00.3	0.000813731	00:00.3	0.00138698
00:00.3	0.000848762	00:00.3	0.00141615
00:00.3	0.000884335	00:00.3	0.00144504
00:00.3	0.0009204	00:00.3	0.00147365
00:00.3	0.000956861	00:00.3	0.00150207
00:00.3	0.000993677	00:00.3	0.00153034
00:00.3	0.00103088	00:00.3	0.00155841
00:00.3	0.00106851	00:00.3	0.00158621
00:00.3	0.00110662	00:00.3	0.00161374
00:00.3	0.00114525	00:00.3	0.00164108
00:00.3	0.00118441	00:00.3	0.00166832
00:00.3	0.00122407	00:00.3	0.00169554
00:00.3	0.00126419	00:00.3	0.00172281
00:00.3	0.00130482	00:00.3	0.00175013
00:00.3	0.00134605	00:00.3	0.00177748
00:00.3	0.00138798	00:00.3	0.00180485
00:00.3	0.00143065	00:00.3	0.00183223
00:00.3	0.00147405	00:00.3	0.0018596
00:00.3	0.00151809	00:00.3	0.00188694
00:00.3	0.00156264	00:00.3	0.00191424
00:00.3	0.00160754	00:00.3	0.0019415
00:00.3	0.00165274	00:00.3	0.0019687
00:00.3	0.00169822	00:00.3	0.00199582
00:00.3	0.00174395	00:00.3	0.00202289
00:00.3	0.0017899	00:00.3	0.00204996
00:00.3	0.00183607	00:00.3	0.00207708
00:00.3	0.0018825	00:00.3	0.00210425
